linha_transmissao,Tensao,concessionaria,Extensao,ano_operacao,extensao_km
"LT 525 kV Candiota 2 - UTE Pampa Sul, C1",525,PAMPA SUL - USINA TERMELÉTRICA PAMPA SUL S.A.,20.50493896,2022,0.199200327419544
"LT 525 kV UHE Machadinho - Machadinho, C1",525,,0.01444879,2002,0.000130661924971508
"LT 525 kV UHE Machadinho - Machadinho, C3",525,,0.01433625,2002,0.000129420517742931
"LT 525 kV UHE Machadinho - Machadinho, C2",525,,0.01431517,2002,0.000129459158321859
"LT 500 kV Garabi I - Rincón de Santa Maria, C1",500,"-",6.252077,2000,0.0610430594743181
"LT 500 kV Garabi II - Rincón de Santa Maria, C1",500,"-",6.03025321,2002,0.0588129608585536
"LT 230 kV Presidente Médici - Santa Cruz 1, C1",230,ELETROSUL - ELETROSUL Centrais Elétricas S.A.,238.38675699,2010,2.24965577500071
"LT 230 kV Livramento 3 - Santa Maria 3, C2",230,NEOENERGIA LAGOA DOS PATOS TRANSMISSÃO DE ENERGIA S.A.,224.44324243,2023,2.23268536966487
"LT 230 kV Livramento 3 - Santa Maria 3, C1",230,TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S A,224.4054214,2023,2.23264407138008
"LT 230 kV Maçambará 3 - Santo Ângelo, C1",230,TAESA - TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S A,203.21657219,2022,2.01248772239976
"LT 230 kV Maçambará 3 - Santo Ângelo, C2",230,,199.54103799,2023,1.9810068114903
"LT 230 kV Itaúba - Pólo Petroquímico, C1",230,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,196.82979012,0,1.99389517503608
"LT 230 kV Presidente Médici - Camaquã, C1",230,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,196.09607873,0,2.00931415807313
"LT 230 kV Livramento 3 - Maçambará 3, C1",230,SANTANA - SANT’ANA TRANSMISSORA DE ENERGIA ELÉTRICA S.A.,186.54163047,2022,1.69876200169064
"LT 230 kV Santa Maria 3 - Santo Ângelo 2, C1",230,SANTA MARIA TRANS - SPE SANTA MARIA TRANSMISSORA DE ENERGIA S.A.,160.18681948,2018,1.46280509263131
"LT 230 kV Candelária 2 - Nova Santa Rita, C1",230,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,157.84806714,2020,1.60477815490518
"LT 230 kV Presidente Médici - Quinta, C1",230,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,154.06562805,0,1.57833127477418
"LT 230 kV Bagé 2 - Livramento 2, C1",230,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,151.53255191,2002,1.56001201156606
"LT 230 kV Camaquã 3 - Povo Novo, C1",230,TSBE - Transmissora Sul Brasileira de Energia S A,148.72056473,2014,1.40360839299343
"LT 230 kV Passo Real - Lajeado 2, C1",230,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,141.61918603,2009,1.40636955203942
"LT 230 kV Passo Real - Venâncio Aires, C1",230,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,137.03800215,0,1.34475573614564
"LT 230 kV Passo Fundo - Vila Maria, C1",230,CGT ELETROSUL - COMPANHIA DE GERAÇÃO E TRANSMISSÃO DE ENERGIA ELÉTRICA DO SUL D,137.00341525,2022,1.23268081204901
"LT 230 kV Passo Fundo - Vila Maria, C2",230,CGT ELETROSUL - COMPANHIA DE GERAÇÃO E TRANSMISSÃO DE ENERGIA ELÉTRICA DO SUL D,136.99874282,2022,1.23256690664657
"LT 230 kV Presidente Médici - Pelotas 3, C1",230,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,131.16026938,2005,1.36554915323564
"LT 230 kV Biguaçu - Jorge Lacerda B, C1",230,ELETROSUL - ELETROSUL Centrais Elétricas S.A.,130.19714279,2008,0.962798011320351
"LT 230 kV Alegrete 2 - UTE Uruguaiana, C1",230,AES URUGUAIANA - AES Uruguaiana Ltda.,129.20800288,2000,1.32303913926607
"LT 230 kV Alegrete 2 - Livramento 2, C1",230,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,128.51944253,2002,1.17944625710221
"LT 230 kV Itaúba - Santa Cruz 1, C1",230,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,127.51529709,2009,1.28037686768972
"LT 230 kV Alegrete 2 - Uruguaiana 5, C1",230,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,127.04284702,0,1.30594847784158
"LT 230 kV Camaquã 3 - Pelotas 3, C1",230,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,123.37573159,2014,1.16797925620786
"LT 230 kV Camaquã 3 - Nova Santa Rita, C1",230,TSBE - Transmissora Sul Brasileira de Energia S A,122.8071152,2014,1.13836742757453
"LT 230 kV Alegrete 2 - Livramento 3, C1",230,SANTANA - SANT’ANA TRANSMISSORA DE ENERGIA ELÉTRICA S.A.,122.5453038,2022,1.13173261727003
"LT 230 kV Gaspar 2 - Palhoça, C1",230,ELETROSUL - ELETROSUL Centrais Elétricas S.A.,122.1460389,2016,0.416806985807151
"LT 230 kV Jorge Lacerda B - Palhoça, C1",230,ELETROSUL - ELETROSUL Centrais Elétricas S.A.,121.17444864,2005,1.13068253095888
"LT 230 kV Forquilhinha - Lajeado Grande, C1",230,ELETROSUL - ELETROSUL Centrais Elétricas S.A.,116.48775606,2011,1.16326012186297
"LT 230 kV UTE Uruguaiana - Maçambará, C1",230,TAESA - TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S A,113.91219678,2004,1.12312348437153
"LT 230 kV Missões - São Borja 2, C1",230,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,111.77731117,2010,1.12628707952397
"LT 230 kV Alegrete 2 - São Vicente do Sul, C1",230,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,102.56029507,2015,1.05382189478173
"LT 230 kV Lages - Rio do Sul, C2",230,STC - STC - Sistema de Transmissão Catarinense S.A.,100.29691276,2007,0.394592978017625
"LT 230 kV Lages - Rio do Sul, C1",230,STC - STC - Sistema de Transmissão Catarinense S.A.,100.28765356,2007,0.394769988795584
"LT 230 kV Atlântida 2 - Gravataí 3, C1",230,ELETROSUL - ELETROSUL Centrais Elétricas S.A.,100.21696934,2008,1.01492570450281
"LT 230 kV Cidade Industrial - Venâncio Aires, C1",230,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,99.9487557,0,1.020147908166
"LT 230 kV Santa Cruz 1 - Charqueadas 3, C1",230,,99.75900082,2024,1.00048557845309
"LT 230 kV Lajeado 2 - Nova Santa Rita, C1",230,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,96.91837063,2009,0.965918686951159
"LT 230 kV Passo Fundo - Santa Marta, C1",230,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,95.99090588,0,0.836134807045011
"LT 230 kV Lagoa Vermelha 2 - Santa Marta, C1",230,ETAU - EMPRESA DE TRANSMISSÃO DO ALTO DO URUGUAI S/A,95.63444423,2005,0.963040999127666
"LT 230 kV Guarita - Santa Rosa 1, C1",230,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,93.0446935,0,0.932199714585636
"LT 230 kV Camaquã - Guaíba 2, C1",230,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,89.55026606,2010,0.839976239674831
"LT 230 kV Abdon Batista - Lages, C1",230,STC - STC - Sistema de Transmissão Catarinense S.A.,89.38764793,2014,0.884074293293709
"LT 230 kV Abdon Batista - Lages, C2",230,STC - STC - Sistema de Transmissão Catarinense S.A.,89.36684397,2014,0.883881348793744
"LT 230 kV Camaquã 3 - Guaíba 2, C1",230,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,87.79575439,2014,0.823961384469772
"LT 230 kV Passo Fundo - Guarita, C1",230,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,87.12770589,0,0.481403292215199
"LT 230 kV São Vicente do Sul - Santa Maria 3, C1",230,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,84.01975453,2015,0.861407079430845
"LT 230 kV Alegrete 2 - Maçambará, C1",230,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,82.79204716,0,0.777330549426952
"LT 230 kV Foz do Chapecó - Guarita, C1",230,ELETROSUL - ELETROSUL Centrais Elétricas S.A.,76.12038585,2010,0.144830320730549
"LT 230 kV Capivari do Sul - Viamão 3, C1",230,PAMPA TRANSMISSORA - PAMPA TRANSMISSÃO DE ENERGIA S.A.,73.9367693,2023,0.742985134353069
"LT 230 kV Forquilhinha - Torres 2, C1",230,EDP Brasil S.A.,69.50341798,2022,0.644050555843069
"LT 230 kV Campos Novos - Videira, C1",230,ATE VI - ATE VI - Campos Novos Transmissora de Energia S.A.,69.04228349,2009,0.0153654043043801
"LT 230 kV Campos Novos - Videira, C2",230,ATE VI - ATE VI - Campos Novos Transmissora de Energia S.A.,69.03863027,2009,0.0152008564843337
"LT 230 kV Scharlau 2 - Charqueadas, C1",230,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,67.14419417,2015,0.666501650675317
