NM_MUN,Voltagem,Estado,Tipo,Linha
Novo Tiradentes,230,RS,especifica,230 kV
Pontão,230,RS,especifica,230 kV
Sério,230,RS,especifica,230 kV
Três Coroas,230,RS,especifica,230 kV
Bento Gonçalves,230,RS,especifica,230 kV
Espumoso,230,RS,especifica,230 kV
Cruzeiro do Sul,230,RS,especifica,230 kV
Faxinal do Soturno,230,RS,especifica,230 kV
Mato Leitão,230,RS,especifica,230 kV
Faxinalzinho,230,RS,especifica,230 kV
Mato Castelhano,230,RS,especifica,230 kV
Independência,230,RS,especifica,230 kV
Alegria,230,RS,especifica,230 kV
Tupanciretã,230,RS,especifica,230 kV
Coronel Barros,230,RS,especifica,230 kV
Boa Vista do Cadeado,230,RS,especifica,230 kV
Jacutinga,230,RS,especifica,230 kV
Boa Vista do Incra,230,RS,especifica,230 kV
Feliz,230,RS,especifica,230 kV
Boa Vista do Sul,230,RS,especifica,230 kV
Victor Graeff,230,RS,especifica,230 kV
Quatro Irmãos,230,RS,especifica,230 kV
Igrejinha,230,RS,especifica,230 kV
Quevedos,230,RS,especifica,230 kV
Agudo,230,RS,especifica,230 kV
Coxilha,230,RS,especifica,230 kV
Nonoai,230,RS,especifica,230 kV
Cotiporã,230,RS,especifica,230 kV
Laurentino,230,SC,especifica,230 kV
Campo Belo do Sul,230,SC,especifica,230 kV
Itajaí,230,SC,especifica,230 kV
Massaranduba,230,SC,especifica,230 kV
Xavantina,230,SC,especifica,230 kV
Pedras Grandes,230,SC,especifica,230 kV
Ascurra,230,SC,especifica,230 kV
Cunhataí,230,SC,especifica,230 kV
Guaramirim,230,SC,especifica,230 kV
Rio do Sul,230,SC,especifica,230 kV
São José,230,SC,especifica,230 kV
Tangará,230,SC,especifica,230 kV
Xaxim,230,SC,especifica,230 kV
Pinhalzinho,230,SC,especifica,230 kV
Nova Veneza,230,SC,especifica,230 kV
Videira,230,SC,especifica,230 kV
Guatambú,230,SC,especifica,230 kV
Treze de Maio,230,SC,especifica,230 kV
Pomerode,230,SC,especifica,230 kV
São João Batista,230,SC,especifica,230 kV
Garuva,230,SC,especifica,230 kV
Lages,230,SC,especifica,230 kV
Siderópolis,230,SC,especifica,230 kV
Otacílio Costa,230,SC,especifica,230 kV
Itá,230,SC,especifica,230 kV
São Bonifácio,230,SC,especifica,230 kV
Armazém,230,SC,especifica,230 kV
Correia Pinto,230,SC,especifica,230 kV
Guabiruba,230,SC,especifica,230 kV
Timbé do Sul,230,SC,especifica,230 kV
Braço do Trombudo,230,SC,especifica,230 kV
Passo de Torres,230,SC,especifica,230 kV
São João do Sul,230,SC,especifica,230 kV
Rodeio,230,SC,especifica,230 kV
Gaspar,230,SC,especifica,230 kV
Ipuaçu,230,SC,especifica,230 kV
Agrolândia,230,SC,especifica,230 kV
Sombrio,230,SC,especifica,230 kV
Xanxerê,230,SC,especifica,230 kV
Balneário Barra do Sul,230,SC,especifica,230 kV
Antônio Carlos,230,SC,especifica,230 kV
Santa Rosa do Sul,230,SC,especifica,230 kV
Vargem,230,SC,especifica,230 kV
Rancho Queimado,230,SC,especifica,230 kV
Bom Jesus,230,SC,especifica,230 kV
Canoinhas,230,SC,especifica,230 kV
Apiúna,230,SC,especifica,230 kV
Nova Trento,230,SC,especifica,230 kV
São Domingos,230,SC,especifica,230 kV
Ibirama,230,SC,especifica,230 kV
Galvão,230,SC,especifica,230 kV
Tubarão,230,SC,especifica,230 kV
Joinville,230,SC,especifica,230 kV
Santo Amaro da Imperatriz,230,SC,especifica,230 kV
Major Gercino,230,SC,especifica,230 kV
Araquari,230,SC,especifica,230 kV
Cordilheira Alta,230,SC,especifica,230 kV
Palmeira,230,SC,especifica,230 kV
São Francisco do Sul,230,SC,especifica,230 kV
Abdon Batista,230,SC,especifica,230 kV
Planalto Alegre,230,SC,especifica,230 kV
Capivari de Baixo,230,SC,especifica,230 kV
Turvo,230,SC,especifica,230 kV
Seara,230,SC,especifica,230 kV
União do Oeste,230,SC,especifica,230 kV
Angelina,230,SC,especifica,230 kV
Coronel Freitas,230,SC,especifica,230 kV
Gravatal,230,SC,especifica,230 kV
São Martinho,230,SC,especifica,230 kV
Morro Grande,230,SC,especifica,230 kV
Águas de Chapecó,230,SC,especifica,230 kV
Ilhota,230,SC,especifica,230 kV
Indaial,230,SC,especifica,230 kV
Águas Frias,230,SC,especifica,230 kV
Biguaçu,230,SC,especifica,230 kV
Anita Garibaldi,230,SC,especifica,230 kV
Campos Novos,230,SC,especifica,230 kV
Meleiro,230,SC,especifica,230 kV
Florianópolis,230,SC,especifica,230 kV
Ibiam,230,SC,especifica,230 kV
Forquilhinha,230,SC,especifica,230 kV
São José do Cerrito,230,SC,especifica,230 kV
Águas Mornas,230,SC,especifica,230 kV
Luiz Alves,230,SC,especifica,230 kV
Cerro Negro,230,SC,especifica,230 kV
Blumenau,230,SC,especifica,230 kV
Celso Ramos,230,SC,especifica,230 kV
Urussanga,230,SC,especifica,230 kV
São Carlos,230,SC,especifica,230 kV
Trombudo Central,230,SC,especifica,230 kV
Saudades,230,SC,especifica,230 kV
Brusque,230,SC,especifica,230 kV
Chapecó,230,SC,especifica,230 kV
Cocal do Sul,230,SC,especifica,230 kV
Ermo,230,SC,especifica,230 kV
Timbó,230,SC,especifica,230 kV
Agronômica,230,SC,especifica,230 kV
Arvoredo,230,SC,especifica,230 kV
Lontras,230,SC,especifica,230 kV
Palhoça,230,SC,especifica,230 kV
Campo Largo,500,PR,especifica,500 kV
Campo Magro,500,PR,especifica,500 kV
Reserva do Iguaçu,500,PR,especifica,500 kV
Rio Branco do Sul,500,PR,especifica,500 kV
Almirante Tamandaré,500,PR,especifica,500 kV
Cerro Azul,500,PR,especifica,500 kV
Foz do Iguaçu,500,PR,especifica,500 kV
Adrianópolis,500,PR,especifica,500 kV
Itaperuçu,500,PR,especifica,500 kV
Mangueirinha,500,PR,especifica,500 kV
General Carneiro,525,PR,especifica,525 kV
Nova Santa Rosa,525,PR,especifica,525 kV
Marquinho,525,PR,especifica,525 kV
Dois Vizinhos,525,PR,especifica,525 kV
Nova Prata do Iguaçu,525,PR,especifica,525 kV
Nova Tebas,525,PR,especifica,525 kV
São José dos Pinhais,525,PR,especifica,525 kV
Honório Serpa,525,PR,especifica,525 kV
Santa Lúcia,525,PR,especifica,525 kV
Campo Largo,525,PR,especifica,525 kV
Nova Cantu,525,PR,especifica,525 kV
Cruz Machado,525,PR,especifica,525 kV
Agudos do Sul,525,PR,especifica,525 kV
Rio Bonito do Iguaçu,525,PR,especifica,525 kV
Bituruna,525,PR,especifica,525 kV
Goioxim,525,PR,especifica,525 kV
Ponta Grossa,525,PR,especifica,525 kV
Missal,525,PR,especifica,525 kV
Lindoeste,525,PR,especifica,525 kV
São Jorge d'Oeste,525,PR,especifica,525 kV
Guaraniaçu,525,PR,especifica,525 kV
Reserva do Iguaçu,525,PR,especifica,525 kV
Santa Helena,525,PR,especifica,525 kV
Palmital,525,PR,especifica,525 kV
Teixeira Soares,525,PR,especifica,525 kV
Coronel Vivida,525,PR,especifica,525 kV
São João,525,PR,especifica,525 kV
Altamira do Paraná,525,PR,especifica,525 kV
Foz do Iguaçu,525,PR,especifica,525 kV
Cruzeiro do Iguaçu,525,PR,especifica,525 kV
Santa Tereza do Oeste,525,PR,especifica,525 kV
Nova Laranjeiras,525,PR,especifica,525 kV
Cascavel,525,PR,especifica,525 kV
Pitanga,525,PR,especifica,525 kV
Guarapuava,525,PR,especifica,525 kV
Turvo,525,PR,especifica,525 kV
Santa Terezinha de Itaipu,525,PR,especifica,525 kV
Sulina,525,PR,especifica,525 kV
Porto Amazonas,525,PR,especifica,525 kV
Campo Bonito,525,PR,especifica,525 kV
Araucária,525,PR,especifica,525 kV
Ipiranga,525,PR,especifica,525 kV
Céu Azul,525,PR,especifica,525 kV
Ivaí,525,PR,especifica,525 kV
Imbituva,525,PR,especifica,525 kV
Manoel Ribas,525,PR,especifica,525 kV
Tijucas do Sul,525,PR,especifica,525 kV
Lapa,525,PR,especifica,525 kV
Medianeira,525,PR,especifica,525 kV
Rebouças,525,PR,especifica,525 kV
Rio Azul,525,PR,especifica,525 kV
Mercedes,525,PR,especifica,525 kV
Palmas,525,PR,especifica,525 kV
Fazenda Rio Grande,525,PR,especifica,525 kV
Toledo,525,PR,especifica,525 kV
Ivaiporã,525,PR,especifica,525 kV
Laranjeiras do Sul,525,PR,especifica,525 kV
Marechal Cândido Rondon,525,PR,especifica,525 kV
Capitão Leônidas Marques,525,PR,especifica,525 kV
Braganey,525,PR,especifica,525 kV
Roncador,525,PR,especifica,525 kV
São João do Triunfo,525,PR,especifica,525 kV
Santa Maria do Oeste,525,PR,especifica,525 kV
Palmeira,525,PR,especifica,525 kV
Ramilândia,525,PR,especifica,525 kV
São Mateus do Sul,525,PR,especifica,525 kV
Mandirituba,525,PR,especifica,525 kV
Terra Roxa,525,PR,especifica,525 kV
Quatro Pontes,525,PR,especifica,525 kV
Boa Esperança do Iguaçu,525,PR,especifica,525 kV
Matelândia,525,PR,especifica,525 kV
Boa Ventura de São Roque,525,PR,especifica,525 kV
Curitiba,525,PR,especifica,525 kV
Grandes Rios,525,PR,especifica,525 kV
Mallet,525,PR,especifica,525 kV
Campina do Simão,525,PR,especifica,525 kV
São Miguel do Iguaçu,525,PR,especifica,525 kV
Mangueirinha,525,PR,especifica,525 kV
Cândido de Abreu,525,PR,especifica,525 kV
Clevelândia,525,PR,especifica,525 kV
Itaipulândia,525,PR,especifica,525 kV
Guaíra,525,PR,especifica,525 kV
Entre Rios do Oeste,525,PR,especifica,525 kV
Saudade do Iguaçu,525,PR,especifica,525 kV
Contenda,525,PR,especifica,525 kV
Ariranha do Ivaí,525,PR,especifica,525 kV
Diamante D'Oeste,525,PR,especifica,525 kV
Prudentópolis,525,PR,especifica,525 kV
Balsa Nova,525,PR,especifica,525 kV
São José das Palmeiras,525,PR,especifica,525 kV
Pinhão,525,PR,especifica,525 kV
Chopinzinho,525,PR,especifica,525 kV
Santo Antônio do Palma,525,RS,especifica,525 kV
Lajeado do Bugre,525,RS,especifica,525 kV
Garibaldi,525,RS,especifica,525 kV
São Domingos do Sul,525,RS,especifica,525 kV
Nova Petrópolis,525,RS,especifica,525 kV
São Pedro da Serra,525,RS,especifica,525 kV
Roca Sales,525,RS,especifica,525 kV
Veranópolis,525,RS,especifica,525 kV
Vespasiano Corrêa,525,RS,especifica,525 kV
Vila Flores,525,RS,especifica,525 kV
Gramado dos Loureiros,525,RS,especifica,525 kV
Catuípe,525,RS,especifica,525 kV
Vila Lângaro,525,RS,especifica,525 kV
Nova Araçá,525,RS,especifica,525 kV
Erebango,525,RS,especifica,525 kV
Nova Prata,525,RS,especifica,525 kV
Nova Roma do Sul,525,RS,especifica,525 kV
Caibaté,525,RS,especifica,525 kV
Capão Bonito do Sul,525,RS,especifica,525 kV
Nova Ramada,525,RS,especifica,525 kV
Itatiba do Sul,525,RS,especifica,525 kV
Rolador,525,RS,especifica,525 kV
Guabiju,525,RS,especifica,525 kV
Antônio Prado,525,RS,especifica,525 kV
Jaboticaba,525,RS,especifica,525 kV
Santa Maria do Herval,525,RS,especifica,525 kV
Tapejara,525,RS,especifica,525 kV
Água Santa,525,RS,especifica,525 kV
Lagoa Vermelha,525,RS,especifica,525 kV
Sertão,525,RS,especifica,525 kV
Muçum,525,RS,especifica,525 kV
Muitos Capões,525,RS,especifica,525 kV
Sete de Setembro,525,RS,especifica,525 kV
Brochier,525,RS,especifica,525 kV
Picada Café,525,RS,especifica,525 kV
Vista Alegre do Prata,525,RS,especifica,525 kV
Erval Grande,525,RS,especifica,525 kV
Charrua,525,RS,especifica,525 kV
Giruá,525,RS,especifica,525 kV
Alto Feliz,525,RS,especifica,525 kV
Barracão,525,RS,especifica,525 kV
Marau,525,RS,especifica,525 kV
União da Serra,525,RS,especifica,525 kV
São Jorge,525,RS,especifica,525 kV
Santo Ângelo,525,RS,especifica,525 kV
Casca,525,RS,especifica,525 kV
São Vendelino,525,RS,especifica,525 kV
Campestre da Serra,525,RS,especifica,525 kV
Dois Irmãos das Missões,525,RS,especifica,525 kV
Guarani das Missões,525,RS,especifica,525 kV
Flores da Cunha,525,RS,especifica,525 kV
Bom Princípio,525,RS,especifica,525 kV
Montauri,525,RS,especifica,525 kV
Floriano Peixoto,525,RS,especifica,525 kV
Dois Lajeados,525,RS,especifica,525 kV
Trindade do Sul,525,RS,especifica,525 kV
Monte Belo do Sul,525,RS,especifica,525 kV
Chiapetta,525,RS,especifica,525 kV
Paulo Bento,525,RS,especifica,525 kV
Passo Fundo,525,RS,especifica,525 kV
Paverama,525,RS,especifica,525 kV
Westfália,525,RS,especifica,525 kV
Santa Cecília do Sul,525,RS,especifica,525 kV
Barra do Rio Azul,525,RS,especifica,525 kV
Palmeira das Missões,525,RS,especifica,525 kV
Ciríaco,525,RS,especifica,525 kV
Santa Tereza,525,RS,especifica,525 kV
Morro Reuter,525,RS,especifica,525 kV
Fagundes Varela,525,RS,especifica,525 kV
Vila Maria,525,RS,especifica,525 kV
Erechim,525,RS,especifica,525 kV
Caxias do Sul,525,RS,especifica,525 kV
São José do Sul,525,RS,especifica,525 kV
Imigrante,525,RS,especifica,525 kV
Cerro Grande,525,RS,especifica,525 kV
Nova Bassano,525,RS,especifica,525 kV
Liberato Salzano,525,RS,especifica,525 kV
Serafina Corrêa,525,RS,especifica,525 kV
Barão,525,RS,especifica,525 kV
Farroupilha,525,RS,especifica,525 kV
Gentil,525,RS,especifica,525 kV
Novo Tiradentes,525,RS,especifica,525 kV
Poço das Antas,525,RS,especifica,525 kV
Bento Gonçalves,525,RS,especifica,525 kV
Santo Augusto,525,RS,especifica,525 kV
Estação,525,RS,especifica,525 kV
Boa Vista das Missões,525,RS,especifica,525 kV
Faxinalzinho,525,RS,especifica,525 kV
Mato Castelhano,525,RS,especifica,525 kV
Cerro Largo,525,RS,especifica,525 kV
Mato Queimado,525,RS,especifica,525 kV
Salvador do Sul,525,RS,especifica,525 kV
Ipê,525,RS,especifica,525 kV
Machadinho,525,RS,especifica,525 kV
Barão de Cotegipe,525,RS,especifica,525 kV
Carlos Barbosa,525,RS,especifica,525 kV
Getúlio Vargas,525,RS,especifica,525 kV
David Canabarro,525,RS,especifica,525 kV
Maximiliano de Almeida,525,RS,especifica,525 kV
Aratiba,525,RS,especifica,525 kV
Paraí,525,RS,especifica,525 kV
Guaporé,525,RS,especifica,525 kV
Feliz,525,RS,especifica,525 kV
Boa Vista do Sul,525,RS,especifica,525 kV
Teutônia,525,RS,especifica,525 kV
Coronel Bicaco,525,RS,especifica,525 kV
Coronel Pilar,525,RS,especifica,525 kV
Quatro Irmãos,525,RS,especifica,525 kV
Coxilha,525,RS,especifica,525 kV
Nonoai,525,RS,especifica,525 kV
Cotiporã,525,RS,especifica,525 kV
Taió,525,SC,especifica,525 kV
Campo Belo do Sul,525,SC,especifica,525 kV
Itajaí,525,SC,especifica,525 kV
Massaranduba,525,SC,especifica,525 kV
Xavantina,525,SC,especifica,525 kV
Erval Velho,525,SC,especifica,525 kV
São Ludgero,525,SC,especifica,525 kV
Água Doce,525,SC,especifica,525 kV
Benedito Novo,525,SC,especifica,525 kV
Lauro Müller,525,SC,especifica,525 kV
Curitibanos,525,SC,especifica,525 kV
Presidente Getúlio,525,SC,especifica,525 kV
Faxinal dos Guedes,525,SC,especifica,525 kV
São Bento do Sul,525,SC,especifica,525 kV
Pomerode,525,SC,especifica,525 kV
Tijucas,525,SC,especifica,525 kV
Abelardo Luz,525,SC,especifica,525 kV
Orleans,525,SC,especifica,525 kV
São João Batista,525,SC,especifica,525 kV
Lages,525,SC,especifica,525 kV
Siderópolis,525,SC,especifica,525 kV
Otacílio Costa,525,SC,especifica,525 kV
Corupá,525,SC,especifica,525 kV
Camboriú,525,SC,especifica,525 kV
Itá,525,SC,especifica,525 kV
São Bonifácio,525,SC,especifica,525 kV
Urupema,525,SC,especifica,525 kV
Capão Alto,525,SC,especifica,525 kV
Braço do Norte,525,SC,especifica,525 kV
Correia Pinto,525,SC,especifica,525 kV
Jaraguá do Sul,525,SC,especifica,525 kV
Ipira,525,SC,especifica,525 kV
Brunópolis,525,SC,especifica,525 kV
Rio do Oeste,525,SC,especifica,525 kV
Ponte Alta,525,SC,especifica,525 kV
Gaspar,525,SC,especifica,525 kV
Agrolândia,525,SC,especifica,525 kV
Ponte Alta do Norte,525,SC,especifica,525 kV
Xanxerê,525,SC,especifica,525 kV
Petrolândia,525,SC,especifica,525 kV
Campo Alegre,525,SC,especifica,525 kV
Dona Emma,525,SC,especifica,525 kV
Alto Bela Vista,525,SC,especifica,525 kV
Bom Jardim da Serra,525,SC,especifica,525 kV
Antônio Carlos,525,SC,especifica,525 kV
Bom Jesus,525,SC,especifica,525 kV
Ibirama,525,SC,especifica,525 kV
José Boiteux,525,SC,especifica,525 kV
Concórdia,525,SC,especifica,525 kV
Grão-Pará,525,SC,especifica,525 kV
Imbuia,525,SC,especifica,525 kV
Vidal Ramos,525,SC,especifica,525 kV
Palmeira,525,SC,especifica,525 kV
Piratuba,525,SC,especifica,525 kV
Capinzal,525,SC,especifica,525 kV
Abdon Batista,525,SC,especifica,525 kV
Seara,525,SC,especifica,525 kV
Angelina,525,SC,especifica,525 kV
Rio Fortuna,525,SC,especifica,525 kV
São Martinho,525,SC,especifica,525 kV
Biguaçu,525,SC,especifica,525 kV
Anita Garibaldi,525,SC,especifica,525 kV
Campos Novos,525,SC,especifica,525 kV
Mirim Doce,525,SC,especifica,525 kV
Peritiba,525,SC,especifica,525 kV
Herval d'Oeste,525,SC,especifica,525 kV
Treze Tílias,525,SC,especifica,525 kV
Zortéa,525,SC,especifica,525 kV
São Pedro de Alcântara,525,SC,especifica,525 kV
São José do Cerrito,525,SC,especifica,525 kV
Águas Mornas,525,SC,especifica,525 kV
Luiz Alves,525,SC,especifica,525 kV
Cerro Negro,525,SC,especifica,525 kV
Blumenau,525,SC,especifica,525 kV
Celso Ramos,525,SC,especifica,525 kV
Luzerna,525,SC,especifica,525 kV
Ituporanga,525,SC,especifica,525 kV
Chapadão do Lageado,525,SC,especifica,525 kV
Urussanga,525,SC,especifica,525 kV
Leoberto Leal,525,SC,especifica,525 kV
Canelinha,525,SC,especifica,525 kV
Paial,525,SC,especifica,525 kV
Ouro Verde,525,SC,especifica,525 kV
Frei Rogério,525,SC,especifica,525 kV
Painel,525,SC,especifica,525 kV
Joaçaba,525,SC,especifica,525 kV
Brusque,525,SC,especifica,525 kV
Timbó,525,SC,especifica,525 kV
Arvoredo,525,SC,especifica,525 kV
São Joaquim,525,SC,especifica,525 kV
Nova Aurora,600,PR,especifica,600 kV
Luiziana,600,PR,especifica,600 kV
Godoy Moreira,600,PR,especifica,600 kV
Nova Tebas,600,PR,especifica,600 kV
Nova Cantu,600,PR,especifica,600 kV
Ortigueira,600,PR,especifica,600 kV
Rio Branco do Ivaí,600,PR,especifica,600 kV
Juranda,600,PR,especifica,600 kV
Arapoti,600,PR,especifica,600 kV
Missal,600,PR,especifica,600 kV
Cafelândia,600,PR,especifica,600 kV
Guaraniaçu,600,PR,especifica,600 kV
Reserva,600,PR,especifica,600 kV
Palmital,600,PR,especifica,600 kV
Altamira do Paraná,600,PR,especifica,600 kV
Foz do Iguaçu,600,PR,especifica,600 kV
Santa Tereza do Oeste,600,PR,especifica,600 kV
Cascavel,600,PR,especifica,600 kV
Pitanga,600,PR,especifica,600 kV
Tupãssi,600,PR,especifica,600 kV
Santa Terezinha de Itaipu,600,PR,especifica,600 kV
Telêmaco Borba,600,PR,especifica,600 kV
Mamborê,600,PR,especifica,600 kV
Campo Bonito,600,PR,especifica,600 kV
Céu Azul,600,PR,especifica,600 kV
Manoel Ribas,600,PR,especifica,600 kV
Medianeira,600,PR,especifica,600 kV
Corbélia,600,PR,especifica,600 kV
Toledo,600,PR,especifica,600 kV
Braganey,600,PR,especifica,600 kV
Roncador,600,PR,especifica,600 kV
Ramilândia,600,PR,especifica,600 kV
Barbosa Ferraz,600,PR,especifica,600 kV
Rosário do Ivaí,600,PR,especifica,600 kV
Matelândia,600,PR,especifica,600 kV
Iretama,600,PR,especifica,600 kV
Ouro Verde do Oeste,600,PR,especifica,600 kV
São Miguel do Iguaçu,600,PR,especifica,600 kV
São Pedro do Iguaçu,600,PR,especifica,600 kV
Cândido de Abreu,600,PR,especifica,600 kV
Mato Rico,600,PR,especifica,600 kV
Ubiratã,600,PR,especifica,600 kV
Diamante D'Oeste,600,PR,especifica,600 kV
Vera Cruz do Oeste,600,PR,especifica,600 kV
Ventania,600,PR,especifica,600 kV
Luiziana,765,PR,especifica,765 kV
Nova Tebas,765,PR,especifica,765 kV
Nova Cantu,765,PR,especifica,765 kV
Ortigueira,765,PR,especifica,765 kV
Rio Branco do Ivaí,765,PR,especifica,765 kV
Arapuã,765,PR,especifica,765 kV
Missal,765,PR,especifica,765 kV
Cafelândia,765,PR,especifica,765 kV
Foz do Iguaçu,765,PR,especifica,765 kV
Cascavel,765,PR,especifica,765 kV
Tupãssi,765,PR,especifica,765 kV
Santa Terezinha de Itaipu,765,PR,especifica,765 kV
Telêmaco Borba,765,PR,especifica,765 kV
Mamborê,765,PR,especifica,765 kV
Manoel Ribas,765,PR,especifica,765 kV
Medianeira,765,PR,especifica,765 kV
Corbélia,765,PR,especifica,765 kV
Toledo,765,PR,especifica,765 kV
Ivaiporã,765,PR,especifica,765 kV
Braganey,765,PR,especifica,765 kV
Roncador,765,PR,especifica,765 kV
Ramilândia,765,PR,especifica,765 kV
Rosário do Ivaí,765,PR,especifica,765 kV
Grandes Rios,765,PR,especifica,765 kV
Iretama,765,PR,especifica,765 kV
Campina da Lagoa,765,PR,especifica,765 kV
Ouro Verde do Oeste,765,PR,especifica,765 kV
São Miguel do Iguaçu,765,PR,especifica,765 kV
São Pedro do Iguaçu,765,PR,especifica,765 kV
Iguatu,765,PR,especifica,765 kV
Ubiratã,765,PR,especifica,765 kV
Itaipulândia,765,PR,especifica,765 kV
Ariranha do Ivaí,765,PR,especifica,765 kV
Diamante D'Oeste,765,PR,especifica,765 kV
Vera Cruz do Oeste,765,PR,especifica,765 kV
Anahy,765,PR,especifica,765 kV
